_id_x,Crate,Dispatch,Content,ContentWeight,ContentCategory,NetWeight,GrossWeight,_id_y,VesselType,ManufacturingPlant,TareWeight,Status,createdAt,updatedAt
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,ML,1.032,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,NL,1.032,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,SPK,1.03,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,NPK,1.032,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,AMP,1.032,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,PT,1.032,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,MH 200,1.112,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,MH 200,1.12,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
67765f6556bf9b28a8bd585f,64788,2025-01-02T06:33:18.569Z,STS,1.554,6697ce0768f46fd1cab97f58,2.598,6.1,676a59fe4d10b47b2a0b951e,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.848,1,2024-12-24T06:51:42.726Z,2025-01-21T10:11:23.122Z
67765f6556bf9b28a8bd585f,64788,2025-01-02T06:33:18.569Z,NHB,1.044,6697ce0768f46fd1cab97f58,2.598,6.1,676a59fe4d10b47b2a0b951e,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.848,1,2024-12-24T06:51:42.726Z,2025-01-21T10:11:23.122Z
67765f9256bf9b28a8bd586e,61025,2025-01-02T06:33:18.569Z,NMP,1.03,6697ce0768f46fd1cab97f58,3.102,6.75,6700eaa7db309e2c6e37a9ce,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.85,1,2024-10-05T07:28:39.151Z,2025-01-09T10:14:21.167Z
