epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,443.539,0.616,0.37939,1.22672,0.83831,1,0.9698,0.75459,0.97932,0.55278,1.73413,0.0019758,0.0019758,0.0019758
111,447.441,0.58066,0.38749,1.20497,0.93661,1,0.98029,0.76753,0.97904,0.52335,1.72388,0.00197559,0.00197559,0.00197559
112,451.529,0.58787,0.37991,1.20608,0.93972,0.97529,0.99147,0.70162,1.02277,0.53912,1.74774,0.00197537,0.00197537,0.00197537
113,455.461,0.59013,0.37563,1.18905,0.93732,1,0.99147,0.72843,0.97559,0.45038,1.84048,0.00197515,0.00197515,0.00197515
114,459.431,0.59421,0.38188,1.20043,0.93817,1,0.98794,0.75161,1.00328,0.5053,1.77237,0.00197493,0.00197493,0.00197493
115,463.585,0.5933,0.38157,1.19719,0.93805,1,0.98029,0.74538,0.94856,0.45198,1.86869,0.00197471,0.00197471,0.00197471
116,467.72,0.57341,0.35998,1.1946,0.88605,1,0.973,0.71283,1.05419,0.51468,1.9682,0.00197448,0.00197448,0.00197448
117,471.776,0.60538,0.37646,1.20644,0.92656,1,0.98441,0.65988,1.29666,0.56723,2.42829,0.00197426,0.00197426,0.00197426
118,475.747,0.65855,0.40122,1.25031,0.93724,1,0.99147,0.74182,1.02799,0.50166,1.83542,0.00197403,0.00197403,0.00197403
119,479.753,0.59143,0.37299,1.19912,0.93995,1,0.98794,0.77362,0.94583,0.49572,1.71691,0.00197382,0.00197382,0.00197382
120,483.779,0.6193,0.36923,1.21998,0.95249,0.875,0.94009,0.73896,0.93947,0.44623,1.60843,0.00197359,0.00197359,0.00197359
121,487.785,0.61335,0.37241,1.22549,0.88593,1,0.98833,0.74211,1.01003,0.53566,1.86718,0.00197337,0.00197337,0.00197337
122,491.733,0.61108,0.36378,1.21216,0.93796,1,0.98029,0.76315,0.99469,0.50735,1.79504,0.00197315,0.00197315,0.00197315
123,495.656,0.62386,0.37955,1.22539,0.93777,1,0.98794,0.79273,0.9064,0.47667,1.74332,0.00197294,0.00197294,0.00197294
124,499.716,0.63388,0.37581,1.22004,0.82043,1,0.93972,0.70691,1.02937,0.58351,1.86421,0.00197272,0.00197272,0.00197272
125,503.691,0.60142,0.38733,1.19944,0.93325,0.9375,0.97925,0.71793,1.00949,0.54076,1.70229,0.0019725,0.0019725,0.0019725
126,507.655,0.58642,0.37315,1.19867,0.88545,1,0.973,0.73765,1.12863,0.57414,1.94329,0.00197228,0.00197228,0.00197228
127,511.585,0.57945,0.36256,1.20032,0.88723,1,0.98794,0.76156,1.04587,0.48843,1.83541,0.00197206,0.00197206,0.00197206
128,515.596,0.61036,0.37303,1.1972,0.93669,1,0.98441,0.71885,1.0925,0.49488,1.94103,0.00197184,0.00197184,0.00197184
129,519.599,0.6182,0.3661,1.23304,0.93738,1,0.98441,0.70116,1.09563,0.45212,1.93932,0.00197162,0.00197162,0.00197162
130,523.58,0.63708,0.39476,1.23369,0.93786,1,0.97676,0.7373,1.03816,0.51761,1.96733,0.0019714,0.0019714,0.0019714
131,527.543,0.59573,0.36534,1.21294,0.9335,1,0.98441,0.82524,0.73485,0.44882,1.39539,0.00197119,0.00197119,0.00197119
132,531.654,0.57863,0.36841,1.17435,0.9353,1,0.95853,0.77871,0.84188,0.47694,1.60602,0.00197096,0.00197096,0.00197096
133,535.689,0.57009,0.34348,1.18025,0.93757,1,0.98029,0.74951,0.95665,0.55694,1.72574,0.00197074,0.00197074,0.00197074
