epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,3313.09,0.54618,0.35403,1.0996,0.99837,1,0.995,0.92922,0.41465,0.20929,0.91326,0.00181983,0.00181983,0.00181983
96,3348.2,0.54656,0.3519,1.1007,0.99907,1,0.995,0.9212,0.42298,0.21266,0.91962,0.00181791,0.00181791,0.00181791
97,3382.87,0.54058,0.34515,1.10007,0.99897,1,0.995,0.92466,0.40964,0.20306,0.906,0.00181599,0.00181599,0.00181599
98,3417.66,0.53924,0.35041,1.09878,0.99457,1,0.99496,0.92272,0.41457,0.2119,0.91275,0.00181408,0.00181408,0.00181408
99,3452.3,0.53905,0.34921,1.0916,0.99964,1,0.995,0.91567,0.4272,0.21043,0.91929,0.00181216,0.00181216,0.00181216
100,3486.95,0.54231,0.35136,1.10049,0.99846,1,0.995,0.92162,0.41892,0.21472,0.92169,0.00181024,0.00181024,0.00181024
101,3521.61,0.53418,0.34557,1.09669,0.99816,1,0.995,0.92156,0.41081,0.2095,0.91387,0.00180833,0.00180833,0.00180833
102,3556.35,0.54242,0.34638,1.09869,1,0.99952,0.995,0.92516,0.41732,0.20573,0.91968,0.00180641,0.00180641,0.00180641
103,3591.1,0.53416,0.33983,1.09464,0.99915,0.996,0.995,0.92578,0.42418,0.21584,0.91753,0.00180449,0.00180449,0.00180449
104,3625.79,0.53181,0.34176,1.08851,0.99876,1,0.995,0.92787,0.40464,0.20326,0.90703,0.00180258,0.00180258,0.00180258
105,3660.56,0.53751,0.33867,1.09181,0.99865,1,0.995,0.92726,0.40896,0.20262,0.9081,0.00180066,0.00180066,0.00180066
106,3695.42,0.53181,0.3423,1.09071,0.99914,1,0.995,0.91855,0.42138,0.2207,0.92741,0.00179874,0.00179874,0.00179874
107,3730.28,0.52028,0.33506,1.07969,0.99872,1,0.995,0.92598,0.41358,0.20583,0.91258,0.00179682,0.00179682,0.00179682
108,3764.96,0.53252,0.33601,1.09095,0.99851,1,0.995,0.92406,0.40716,0.20759,0.90214,0.00179491,0.00179491,0.00179491
109,3799.64,0.52166,0.33421,1.08738,0.99953,1,0.995,0.92869,0.40591,0.21047,0.90922,0.00179299,0.00179299,0.00179299
110,3834.19,0.52418,0.33985,1.08817,0.99952,1,0.995,0.92728,0.41285,0.2085,0.91786,0.00179107,0.00179107,0.00179107
111,3868.85,0.52368,0.34237,1.08385,0.99944,1,0.995,0.92871,0.40093,0.1996,0.90263,0.00178916,0.00178916,0.00178916
112,3903.58,0.52401,0.33293,1.08835,0.99553,1,0.995,0.93104,0.3964,0.19714,0.89164,0.00178724,0.00178724,0.00178724
113,3938.12,0.51157,0.33348,1.08279,0.99602,0.99992,0.995,0.92674,0.40838,0.20313,0.90584,0.00178532,0.00178532,0.00178532
114,3973.11,0.5207,0.32978,1.0851,0.99906,0.996,0.995,0.93175,0.40403,0.20035,0.90418,0.00178341,0.00178341,0.00178341
115,4007.8,0.51271,0.32724,1.07641,0.99849,0.996,0.995,0.93348,0.4106,0.19845,0.90742,0.00178149,0.00178149,0.00178149
116,4042.82,0.51778,0.32928,1.08399,0.99844,0.996,0.995,0.92749,0.41151,0.20832,0.91211,0.00177957,0.00177957,0.00177957
117,4077.42,0.52625,0.3405,1.08841,0.99601,0.9996,0.995,0.92636,0.40599,0.20473,0.90834,0.00177766,0.00177766,0.00177766
118,4112.31,0.52991,0.33712,1.09139,0.99595,0.996,0.995,0.92792,0.3957,0.20564,0.89535,0.00177574,0.00177574,0.00177574
119,4146.94,0.51402,0.32992,1.0803,0.99601,0.99949,0.995,0.93034,0.39566,0.19805,0.89634,0.00177382,0.00177382,0.00177382
120,4181.7,0.51738,0.32821,1.08869,0.99566,0.996,0.995,0.92881,0.40384,0.20337,0.90073,0.00177191,0.00177191,0.00177191
121,4216.79,0.51139,0.32591,1.08386,0.99545,1,0.995,0.93511,0.40265,0.20007,0.90472,0.00177021,0.00177021,0.00177021
122,4251.46,0.51438,0.32629,1.08252,0.99562,1,0.995,0.93392,0.39429,0.19244,0.8961,0.00176807,0.00176807,0.00176807
123,4286.01,0.51935,0.33148,1.08351,0.99602,0.99978,0.995,0.93238,0.39646,0.19801,0.90003,0.00176638,0.00176638,0.00176638
124,4320.49,0.51463,0.325,1.07738,0.99838,0.996,0.995,0.93013,0.39952,0.19678,0.9056,0.00176447,0.00176447,0.00176447
125,4354.99,0.51016,0.32255,1.08232,0.99799,0.992,0.995,0.93034,0.40978,0.20167,0.91149,0.00176255,0.00176255,0.00176255
126,4389.55,0.51131,0.324,1.07432,1,0.99593,0.995,0.93478,0.40068,0.19842,0.90526,0.00176064,0.00176064,0.00176064
127,4424.2,0.5023,0.3189,1.07441,0.99532,0.996,0.99496,0.93676,0.39688,0.19506,0.89963,0.00175872,0.00175872,0.00175872
128,4458.9,0.5088,0.32276,1.07105,0.99547,0.996,0.99492,0.93261,0.3961,0.19426,0.8947,0.00175681,0.00175681,0.00175681
129,4493.63,0.50627,0.31461,1.07181,0.99579,0.996,0.995,0.93367,0.39717,0.19139,0.89416,0.00175489,0.00175489,0.00175489
130,4528.47,0.50103,0.31905,1.07579,0.99601,0.99939,0.99496,0.93316,0.40025,0.19651,0.89942,0.00175298,0.00175298,0.00175298
131,4563.27,0.49668,0.31353,1.06748,1,0.9998,0.995,0.93335,0.39544,0.18927,0.89306,0.00175106,0.00175106,0.00175106
132,4598.33,0.49331,0.3113,1.07092,0.99524,1,0.995,0.92899,0.39672,0.18887,0.89155,0.00174915,0.00174915,0.00174915
133,4633.24,0.50915,0.32025,1.07685,0.99529,0.996,0.99492,0.92701,0.4039,0.19788,0.89978,0.00174723,0.00174723,0.00174723
134,4667.94,0.50636,0.31782,1.07283,0.99528,0.996,0.99492,0.92984,0.40135,0.19802,0.90232,0.00174532,0.00174532,0.00174532
135,4702.84,0.50929,0.31926,1.07223,0.99581,0.996,0.995,0.93475,0.40625,0.19763,0.90827,0.0017434,0.0017434,0.0017434
136,4737.54,0.50211,0.31689,1.06829,0.99602,0.9999,0.995,0.93995,0.40673,0.19932,0.90889,0.00174149,0.00174149,0.00174149
137,4772.66,0.49848,0.31954,1.07331,0.99602,0.99982,0.995,0.93536,0.40515,0.19403,0.90546,0.00173957,0.00173957,0.00173957
138,4807.39,0.49613,0.31355,1.06734,0.99554,0.996,0.995,0.93212,0.40831,0.19775,0.90911,0.00173766,0.00173766,0.00173766
139,4841.98,0.49153,0.31125,1.06633,0.99601,0.99975,0.995,0.92757,0.40021,0.19269,0.90007,0.00173574,0.00173574,0.00173574
